92,92,92,92,92,92,92,92,92,92,25,25,25,25,25,25,25	0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1
47,47,47,47,47,47,47,47,47,47,44,44,44,84,84,84,92,92,92,92,92	1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
8,99,99,32,32,32,32,32,25,25,25,5,5,5,26,26,26,71,71,71,78,78,78,30,30,30,15,15,15,15	1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
21,21,21,21,21,21,21,21,1,1,1,88,88,88,91,91,91,63,89,89,89,63,63,63	0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
92,92,92,93,93,93,93,60,60,60,63,63,63,63,63,63,63,63,63,63,63,59,59,59,42,42,42,92,92,92,1,1,1,88,88,88,63,63,63,63,63,59,59,59,59,92,92,92,91,91,91	1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
94,94,94,94,94,94,94,94,94,57,57,57,57,57,57,57,57,90,90,90	1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
94,94,94,92,92,92,61,61,61,61,61,61,61,94,94,94,94,94,94	1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
80,80,80,98,98,98,98,98,98,98,45,45,45	1,1,1,1,0,0,0,1,1,1,1,1,1
6,6,6,8,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,93,93	1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0
15,15,15,15,15,16,16,16,70,70,70,16,16,16,16	1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
92,92,92,43,43,43,2,2,2,2,59,59,59,93,93,93,93,21,21,21,21,5,5,5,67,67,67,94,94,94,21,21,21	1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,92,92,92,92,43,43,43,2,2,2,2,2,2,2,2,2,2,59,59,59,59,59,93,93,93,21,21,21,5,5,5,67,67,67,67,94,94,94	1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
60,60,60,60,60,59,59,95,95,95,95,95,95,59,59,59,94,94,94,61,61,61,76,76,76,76,76,76,76,91,91,91,90,90,90,94,94,94	0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
63,63,63,63,89,89,89,14,24,24,24,24,3,3,3,26,26,26,73,73,73,73,73,73,73,73,73,19,19,19,19,42,42,42,86,86,86,91,91,91,91,91,80,80,80,80,80,80,80,80,80,20,20,20,20,20,20,20	0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1
